date,location,hits
2012-03-01,Vermont,100
2012-03-01,Nebraska,58
2012-03-01,Arkansas,49
2012-03-01,Nevada,36
2012-03-01,Kansas,23
2012-03-01,Iowa,21
2012-03-01,Indiana,19
2012-03-01,Oklahoma,18
2012-03-01,Missouri,15
2012-03-01,Oregon,14
2012-03-01,Alabama,13
2012-03-01,South Carolina,12
2012-03-01,Kentucky,11
2012-03-01,Minnesota,10
2012-03-01,Wisconsin,10
2012-03-01,Illinois,10
2012-03-01,Colorado,9
2012-03-01,Arizona,8
2012-03-01,New Jersey,8
2012-03-01,Washington,7
2012-03-01,Texas,7
2012-03-01,Michigan,6
2012-03-01,Virginia,6
2012-03-01,North Carolina,5
2012-03-01,New York,5
2012-03-01,Ohio,4
2012-03-01,Pennsylvania,4
2012-03-01,California,4
2012-03-01,Florida,4
2012-03-01,Alaska,NA
2012-03-01,Connecticut,NA
2012-03-01,District of Columbia,NA
2012-03-01,Delaware,NA
2012-03-01,Georgia,NA
2012-03-01,Hawaii,NA
2012-03-01,Idaho,NA
2012-03-01,Louisiana,NA
2012-03-01,Massachusetts,NA
2012-03-01,Maryland,NA
2012-03-01,Maine,NA
2012-03-01,Mississippi,NA
2012-03-01,Montana,NA
2012-03-01,North Dakota,NA
2012-03-01,New Hampshire,NA
2012-03-01,New Mexico,NA
2012-03-01,Rhode Island,NA
2012-03-01,South Dakota,NA
2012-03-01,Tennessee,NA
2012-03-01,Utah,NA
2012-03-01,West Virginia,NA
2012-03-01,Wyoming,NA
2012-03-02,Montana,100
2012-03-02,Rhode Island,71
2012-03-02,Hawaii,66
2012-03-02,Iowa,61
2012-03-02,Utah,54
2012-03-02,Nebraska,43
2012-03-02,Oregon,41
2012-03-02,Arkansas,35
2012-03-02,Kansas,34
2012-03-02,Indiana,28
2012-03-02,Nevada,28
2012-03-02,Oklahoma,26
2012-03-02,Kentucky,26
2012-03-02,Maryland,24
2012-03-02,Louisiana,22
2012-03-02,Massachusetts,21
2012-03-02,New Jersey,21
2012-03-02,Connecticut,21
2012-03-02,South Carolina,18
2012-03-02,Wisconsin,15
2012-03-02,Missouri,15
2012-03-02,Colorado,13
2012-03-02,Pennsylvania,13
2012-03-02,North Carolina,12
2012-03-02,New York,12
2012-03-02,Arizona,12
2012-03-02,Washington,11
2012-03-02,Ohio,10
2012-03-02,Texas,10
2012-03-02,Michigan,9
2012-03-02,Virginia,9
2012-03-02,Illinois,9
2012-03-02,Florida,9
2012-03-02,California,8
2012-03-02,Georgia,7
2012-03-02,Alaska,NA
2012-03-02,Alabama,NA
2012-03-02,District of Columbia,NA
2012-03-02,Delaware,NA
2012-03-02,Idaho,NA
2012-03-02,Maine,NA
2012-03-02,Minnesota,NA
2012-03-02,Mississippi,NA
2012-03-02,North Dakota,NA
2012-03-02,New Hampshire,NA
2012-03-02,New Mexico,NA
2012-03-02,South Dakota,NA
2012-03-02,Tennessee,NA
2012-03-02,Vermont,NA
2012-03-02,West Virginia,NA
2012-03-02,Wyoming,NA
2012-03-03,Alaska,100
2012-03-03,Vermont,91
2012-03-03,Oklahoma,33
2012-03-03,Louisiana,27
2012-03-03,Nebraska,26
2012-03-03,Iowa,25
2012-03-03,Alabama,24
2012-03-03,Kansas,21
2012-03-03,Minnesota,18
2012-03-03,Nevada,17
2012-03-03,Utah,16
2012-03-03,Tennessee,16
2012-03-03,Arizona,15
2012-03-03,Connecticut,13
2012-03-03,Kentucky,12
2012-03-03,Indiana,12
2012-03-03,Maryland,12
2012-03-03,Michigan,12
2012-03-03,South Carolina,11
2012-03-03,New Jersey,10
2012-03-03,Wisconsin,9
2012-03-03,Illinois,9
2012-03-03,Missouri,9
2012-03-03,Texas,7
2012-03-03,Washington,7
2012-03-03,Georgia,6
2012-03-03,California,6
2012-03-03,Ohio,6
2012-03-03,New York,5
2012-03-03,North Carolina,5
2012-03-03,Pennsylvania,4
2012-03-03,Florida,4
2012-03-03,Arkansas,NA
2012-03-03,Colorado,NA
2012-03-03,District of Columbia,NA
2012-03-03,Delaware,NA
2012-03-03,Hawaii,NA
2012-03-03,Idaho,NA
2012-03-03,Massachusetts,NA
2012-03-03,Maine,NA
2012-03-03,Mississippi,NA
2012-03-03,Montana,NA
2012-03-03,North Dakota,NA
2012-03-03,New Hampshire,NA
2012-03-03,New Mexico,NA
2012-03-03,Oregon,NA
2012-03-03,Rhode Island,NA
2012-03-03,South Dakota,NA
2012-03-03,Virginia,NA
2012-03-03,West Virginia,NA
2012-03-03,Wyoming,NA
2012-03-04,Vermont,100
2012-03-04,Maine,48
2012-03-04,Hawaii,46
2012-03-04,West Virginia,45
2012-03-04,Iowa,43
2012-03-04,District of Columbia,41
2012-03-04,New Mexico,32
2012-03-04,Indiana,29
2012-03-04,Kansas,23
2012-03-04,Nevada,19
2012-03-04,Oklahoma,18
2012-03-04,Maryland,18
2012-03-04,Missouri,15
2012-03-04,Tennessee,15
2012-03-04,Kentucky,15
2012-03-04,Louisiana,15
2012-03-04,South Carolina,13
2012-03-04,Washington,12
2012-03-04,Virginia,12
2012-03-04,Pennsylvania,11
2012-03-04,Wisconsin,10
2012-03-04,Illinois,10
2012-03-04,Minnesota,10
2012-03-04,Arizona,8
2012-03-04,Massachusetts,7
2012-03-04,Texas,7
2012-03-04,New York,7
2012-03-04,Michigan,7
2012-03-04,New Jersey,6
2012-03-04,North Carolina,5
2012-03-04,Georgia,5
2012-03-04,Ohio,5
2012-03-04,California,2
2012-03-04,Alaska,NA
2012-03-04,Alabama,NA
2012-03-04,Arkansas,NA
2012-03-04,Colorado,NA
2012-03-04,Connecticut,NA
2012-03-04,Delaware,NA
2012-03-04,Florida,NA
2012-03-04,Idaho,NA
2012-03-04,Mississippi,NA
2012-03-04,Montana,NA
2012-03-04,North Dakota,NA
2012-03-04,Nebraska,NA
2012-03-04,New Hampshire,NA
2012-03-04,Oregon,NA
2012-03-04,Rhode Island,NA
2012-03-04,South Dakota,NA
2012-03-04,Utah,NA
2012-03-04,Wyoming,NA
2012-03-05,Maine,100
2012-03-05,District of Columbia,84
2012-03-05,New Mexico,64
2012-03-05,Mississippi,56
2012-03-05,Arkansas,50
2012-03-05,Kansas,46
2012-03-05,Louisiana,46
2012-03-05,Iowa,42
2012-03-05,Wisconsin,42
2012-03-05,Oklahoma,37
2012-03-05,Arizona,33
2012-03-05,Kentucky,30
2012-03-05,Oregon,28
2012-03-05,Maryland,26
2012-03-05,Michigan,25
2012-03-05,Missouri,21
2012-03-05,Minnesota,20
2012-03-05,Indiana,19
2012-03-05,Colorado,19
2012-03-05,Illinois,16
2012-03-05,North Carolina,16
2012-03-05,Ohio,15
2012-03-05,Massachusetts,15
2012-03-05,Washington,15
2012-03-05,New York,14
2012-03-05,Virginia,12
2012-03-05,New Jersey,12
2012-03-05,California,11
2012-03-05,Texas,10
2012-03-05,Pennsylvania,9
2012-03-05,Florida,8
2012-03-05,Alaska,NA
2012-03-05,Alabama,NA
2012-03-05,Connecticut,NA
2012-03-05,Delaware,NA
2012-03-05,Georgia,NA
2012-03-05,Hawaii,NA
2012-03-05,Idaho,NA
2012-03-05,Montana,NA
2012-03-05,North Dakota,NA
2012-03-05,Nebraska,NA
2012-03-05,New Hampshire,NA
2012-03-05,Nevada,NA
2012-03-05,Rhode Island,NA
2012-03-05,South Carolina,NA
2012-03-05,South Dakota,NA
2012-03-05,Tennessee,NA
2012-03-05,Utah,NA
2012-03-05,Vermont,NA
2012-03-05,West Virginia,NA
2012-03-05,Wyoming,NA
2012-03-06,Delaware,100
2012-03-06,West Virginia,35
2012-03-06,Hawaii,34
2012-03-06,Idaho,31
2012-03-06,Kansas,20
